Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###830	3.2	0.0	0.0	D5_09	41095276	41095370	95	C	1010CL0160	LTR	(0)	95	1	146897	1	No_ref_available

###844	1.1	0.0	0.0	D5_09	41094684	41094836	95	+	1185CL0160	LTR	1	95	(0)	146892	1	No_ref_available

###859	1.1	0.0	0.0	D5_09	41095031	41095125	95	C	1368CL0160	LTR	(0)	95	1	146895	1	No_ref_available

###832	2.6	0.0	0.0	D5_09	41352082	41352225	95	C	156CL0117	LTR	(0)	95	1	146925	1	No_ref_available

###634	11.6	0.0	0.0	D5_09	41432510	41432604	95	C	203CL0203	LTR	(0)	95	1	146958	1	No_ref_available

###755	6.3	0.0	0.0	D5_09	42315519	42315613	95	C	2295CL0030	LTR	(0)	95	1	147078	1	No_ref_available

###842	2.3	0.0	0.0	D5_09	41094473	41094599	95	+	232CL0160	LTR	1	95	(0)	146890	1	No_ref_available

###826	0.0	0.0	0.0	D5_09	40355899	40355993	95	C	241CL0208	LTR	(0)	95	1	146756	1	No_ref_available

###507	11.1	5.5	1.1	D5_09	40360675	40360765	95	C	241CL0208	LTR	(0)	95	1	146762	1	No_ref_available

###830	3.2	0.0	0.0	D5_09	41094522	41094616	95	C	247CL0160	LTR	(0)	95	1	146891	1	No_ref_available

###846	0.0	0.0	0.0	D5_09	40355977	40356071	95	C	494CL0208	LTR	(0)	95	1	146757	1	No_ref_available

###523	15.2	3.3	0.0	D5_09	40360752	40360843	95	C	494CL0208	LTR	(0)	95	1	146763	1	No_ref_available

###844	2.1	0.0	0.0	D5_09	41094425	41094554	95	C	498CL0160	LTR	(0)	95	1	146889	1	No_ref_available

###833	2.1	0.0	0.0	D5_09	41095444	41095538	95	+	54CL0160	LTR	1	95	(0)	146899	1	No_ref_available

###508	9.2	1.3	0.0	D5_09	41432605	41432679	76	+	552CL0203	LTR	20	95	(0)	146959	1	No_ref_available

###285	11.5	7.7	0.0	D5_09	42813583	42813621	43	+	5822CL0030	LTR	4	46	(49)	147253	1	No_ref_available

###805	3.2	0.0	0.0	D5_09	42813622	42813716	95	+	5822CL0030	LTR	1	95	(0)	147253	1	No_ref_available

###836	2.1	0.0	0.0	D5_09	41095421	41095515	95	C	596CL0160	LTR	(0)	95	1	146898	1	No_ref_available

###709	9.5	0.0	0.0	D5_09	42787075	42787179	95	C	6061CL0030	LTR	(0)	95	1	147244	1	No_ref_available

###801	4.2	0.0	0.0	D5_09	42813667	42813761	95	C	6064CL0030	LTR	(0)	95	1	147254	1	No_ref_available

###646	11.7	0.3	5.5	D5_09	42787021	42787159	95	+	6809CL0030	LTR	1	95	(0)	147243	1	No_ref_available

###844	0.0	0.0	0.0	D5_09	36859177	36859271	95	+	682CL0177	LTR	1	95	(0)	146206	1	No_ref_available

###762	4.3	0.0	0.0	D5_09	42316216	42316309	94	C	6951CL0030	LTR	(0)	95	2	147081	1	No_ref_available

###824	2.1	0.0	0.0	D5_09	41746114	41746208	95	+	6988CL0030	LTR	1	95	(0)	146995	1	No_ref_available

###779	5.3	0.0	0.0	D5_09	41390484	41390578	95	C	7037CL0030	LTR	(0)	95	1	146932	1	No_ref_available

###859/859	1.500	0.000	0.000	D5_09	41094977	41095142	95	+	712CL0160	LTR	1	95	(0)	146894/146894	2	No_ref_available
859	1.5	0.0	0.0	D5_09	41094977	41095030	70	+	712CL0160	LTR	1	70	(25)	146894	1
859	1.5	0.0	0.0	D5_09	41095126	41095142	25	+	712CL0160	LTR	71	95	(0)	146894	1

###773	7.5	0.0	0.0	D5_09	41390520	41390613	94	+	7240CL0030	LTR	1	94	(1)	146933	1	No_ref_available

###860	0.0	0.0	0.0	D5_09	37026935	37027029	95	+	787CL0047	LTR	1	95	(0)	146235	1	No_ref_available

###298	16.7	3.5	1.1	D5_09	42283751	42283835	87	C	821CL0177	LTR	(5)	90	4	147063	1	No_ref_available

###257	23.3	1.1	1.1	D5_09	42379109	42379195	87	C	821CL0177	LTR	(7)	88	2	147100	1	No_ref_available

###802	0.0	0.0	0.0	D5_09	42402921	42403015	95	+	821CL0177	LTR	1	95	(0)	147107	1	No_ref_available

###232	30.6	0.0	0.0	D5_09	42403800	42403884	85	C	821CL0177	LTR	(7)	88	4	147108	1	No_ref_available

###241	22.6	2.3	3.5	D5_09	42404257	42404343	86	C	821CL0177	LTR	(4)	91	6	147109	1	No_ref_available

###247	22.6	5.9	1.1	D5_09	42414907	42414991	89	C	821CL0177	LTR	(6)	89	1	147115	1	No_ref_available

###273	21.1	0.9	15.1	D5_09	42501586	42501691	93	C	821CL0177	LTR	(0)	95	3	147155	1	No_ref_available

###501	14.3	1.1	0.0	D5_09	42560458	42560548	92	C	821CL0177	LTR	(2)	93	2	147171	1	No_ref_available

###398	16.7	0.0	1.2	D5_09	42690226	42690310	84	C	821CL0177	LTR	(11)	84	1	147214	1	No_ref_available

###757	5.3	0.0	0.0	D5_09	42316196	42316290	95	+	9100CL0030	LTR	1	95	(0)	147080	1	No_ref_available

###834	2.1	0.0	0.0	D5_09	41095248	41095342	95	+	957CL0160	LTR	1	95	(0)	146896	1	No_ref_available

###864	0.2	0.0	0.0	D5_09	41094709	41094849	95	C	964CL0160	LTR	(0)	95	1	146893	1	No_ref_available

###755	4.3	0.0	0.0	D5_09	42663229	42663321	93	C	1363CL0128	LTR/Copia	(2)	93	1	147209	1	No_ref_available

###759	1.1	0.0	0.0	D5_09	42467444	42467538	95	+	141CL0225	LTR/Copia	1	95	(0)	147137	1	No_ref_available

###812	0.0	0.0	0.0	D5_09	42989095	42989189	95	C	1484CL0128	LTR/Copia	(0)	95	1	147288	1	No_ref_available

###790	4.2	0.0	0.0	D5_09	43015467	43015561	95	C	1803CL0089	LTR/Copia	(0)	95	1	147294	1	No_ref_available

###374	24.5	0.0	0.0	D5_09	42843208	42843301	94	+	209CL0250	LTR/Copia	1	94	(1)	147264	1	No_ref_available

###278	20.9	0.0	1.5	D5_09	42843333	42843400	67	C	209CL0250	LTR/Copia	(25)	70	4	147265	1	No_ref_available

###822	1.1	0.0	0.0	D5_09	42868193	42868287	95	+	209CL0250	LTR/Copia	1	95	(0)	147268	1	No_ref_available

###303	15.6	0.0	1.6	D5_09	42868332	42868396	64	C	209CL0250	LTR/Copia	(27)	68	5	147269	1	No_ref_available

###542	17.0	0.0	0.0	D5_09	42872311	42872404	94	+	209CL0250	LTR/Copia	1	94	(1)	147270	1	No_ref_available

###300	13.8	4.4	4.4	D5_09	42872455	42872522	68	C	209CL0250	LTR/Copia	(27)	68	1	147271	1	No_ref_available

