Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###847	2.1	0.0	0.0	D5_06	670794	670888	95	C	1920CL0124	LTR	(0)	95	1	81856	1	No_ref_available

###287	3.8	0.0	1.9	D5_06	60137735	60137787	52	+	858CL0177	LTR	25	76	(19)	100839	1	No_ref_available

###436	8.2	0.0	0.0	D5_06	60155015	60155087	73	+	858CL0177	LTR	23	95	(0)	100844	1	No_ref_available

###270	19.3	10.7	1.1	D5_06	60164533	60164616	92	+	858CL0177	LTR	4	95	(0)	100853	1	No_ref_available

###407	5.0	6.7	10.3	D5_06	60177535	60177624	87	+	858CL0177	LTR	9	95	(0)	100859	1	No_ref_available

###812	0.0	0.0	0.0	D5_06	60181069	60181163	95	+	858CL0177	LTR	1	95	(0)	100862	1	No_ref_available

###414	15.0	1.2	1.2	D5_06	60261218	60261298	81	+	858CL0177	LTR	12	92	(3)	100877	1	No_ref_available

###534	9.9	0.0	0.0	D5_06	60459366	60459446	81	+	858CL0177	LTR	15	95	(0)	100939	1	No_ref_available

###229	19.4	1.4	2.7	D5_06	60478771	60478844	73	C	858CL0177	LTR	(0)	95	23	100946	1	No_ref_available

###417	8.2	0.0	1.4	D5_06	60552896	60552969	73	C	858CL0177	LTR	(0)	95	23	100963	1	No_ref_available

###266	20.2	6.5	3.2	D5_06	60575456	60575547	95	C	858CL0177	LTR	(0)	95	1	100968	1	No_ref_available

###420	18.3	1.1	2.1	D5_06	75419	75513	94	+	161CL0250	LTR/Copia	2	95	(0)	81772	1	No_ref_available

###225	29.8	1.2	0.0	D5_06	130056	130139	85	C	161CL0250	LTR/Copia	(0)	95	11	81779	1	No_ref_available

###300	28.7	0.0	0.0	D5_06	173233	173319	87	+	161CL0250	LTR/Copia	1	87	(8)	81780	1	No_ref_available

###842	0.0	0.0	0.0	D5_06	200426	200520	95	C	161CL0250	LTR/Copia	(0)	95	1	81781	1	No_ref_available

###227	26.7	2.6	3.9	D5_06	216632	216709	77	C	161CL0250	LTR/Copia	(0)	95	19	81782	1	No_ref_available

###446	23.2	0.0	0.0	D5_06	216896	216990	95	+	161CL0250	LTR/Copia	1	95	(0)	81783	1	No_ref_available

###248	14.3	0.0	0.0	D5_06	225756	225797	42	+	161CL0250	LTR/Copia	12	53	(42)	81784	1	No_ref_available

###396	17.5	2.5	1.2	D5_06	225828	225908	82	C	161CL0250	LTR/Copia	(9)	86	5	81785	1	No_ref_available

###397	17.1	2.6	0.0	D5_06	230289	230364	78	+	161CL0250	LTR/Copia	8	85	(10)	81786	1	No_ref_available

###300	25.6	1.2	0.0	D5_06	285026	285111	87	C	161CL0250	LTR/Copia	(8)	87	1	81795	1	No_ref_available

###298	11.5	1.9	0.0	D5_06	314900	314951	53	+	161CL0250	LTR/Copia	1	53	(42)	81797	1	No_ref_available

###423	21.3	1.1	0.0	D5_06	316245	316338	95	+	161CL0250	LTR/Copia	1	95	(0)	81798	1	No_ref_available

###242	30.6	0.0	0.0	D5_06	347645	347716	72	C	161CL0250	LTR/Copia	(1)	94	23	81803	1	No_ref_available

###369	24.5	0.0	1.1	D5_06	367783	367877	94	+	161CL0250	LTR/Copia	1	94	(1)	81805	1	No_ref_available

###312	9.6	1.9	0.0	D5_06	368361	368412	53	+	161CL0250	LTR/Copia	1	53	(42)	81806	1	No_ref_available

###318	26.2	0.0	0.0	D5_06	371917	371996	80	C	161CL0250	LTR/Copia	(1)	94	15	81807	1	No_ref_available

###256	15.4	1.9	0.0	D5_06	413494	413545	53	+	161CL0250	LTR/Copia	1	53	(42)	81810	1	No_ref_available

###252	23.0	0.0	2.7	D5_06	413570	413645	74	C	161CL0250	LTR/Copia	(21)	74	1	81811	1	No_ref_available

###372	26.1	0.0	0.0	D5_06	414801	414888	88	+	161CL0250	LTR/Copia	8	95	(0)	81812	1	No_ref_available

###254	15.4	1.9	0.0	D5_06	414914	414965	53	C	161CL0250	LTR/Copia	(42)	53	1	81813	1	No_ref_available

###483	20.4	0.0	0.0	D5_06	421711	421803	93	C	161CL0250	LTR/Copia	(2)	93	1	81815	1	No_ref_available

###340	27.4	0.0	0.0	D5_06	427781	427875	95	C	161CL0250	LTR/Copia	(0)	95	1	81816	1	No_ref_available

###330	20.0	1.4	0.0	D5_06	433557	433626	71	C	161CL0250	LTR/Copia	(24)	71	1	81818	1	No_ref_available

###359	23.4	1.0	3.2	D5_06	436531	436627	95	+	161CL0250	LTR/Copia	1	95	(0)	81819	1	No_ref_available

###272	12.5	2.1	0.0	D5_06	436653	436700	49	C	161CL0250	LTR/Copia	(42)	53	5	81820	1	No_ref_available

###284	24.1	13.2	0.0	D5_06	440614	440696	94	+	161CL0250	LTR/Copia	1	94	(1)	81821	1	No_ref_available

###371	24.1	0.0	0.0	D5_06	443729	443815	87	+	161CL0250	LTR/Copia	9	95	(0)	81822	1	No_ref_available

###486	18.1	1.1	0.0	D5_06	445495	445588	95	C	161CL0250	LTR/Copia	(0)	95	1	81823	1	No_ref_available

###317	13.1	4.9	0.0	D5_06	461121	461181	64	C	161CL0250	LTR/Copia	(26)	69	6	81824	1	No_ref_available

###229	32.9	0.0	0.0	D5_06	474878	474956	79	C	161CL0250	LTR/Copia	(0)	95	17	81826	1	No_ref_available

###449	22.1	0.0	0.0	D5_06	479178	479272	95	C	161CL0250	LTR/Copia	(0)	95	1	81827	1	No_ref_available

###433	19.0	0.0	0.0	D5_06	482199	482277	79	+	161CL0250	LTR/Copia	17	95	(0)	81828	1	No_ref_available

###307	9.6	1.9	0.0	D5_06	489186	489237	53	+	161CL0250	LTR/Copia	1	53	(42)	81829	1	No_ref_available

###532	14.1	0.0	1.2	D5_06	60095616	60095701	85	+	208CL0250	LTR/Copia	1	85	(10)	100832	1	No_ref_available

###256	20.0	1.8	1.8	D5_06	60095701	60095756	56	C	208CL0250	LTR/Copia	(36)	59	4	100833	1	No_ref_available

###439	20.2	1.0	2.1	D5_06	60116384	60116479	95	+	208CL0250	LTR/Copia	1	95	(0)	100835	1	No_ref_available

###462	24.2	0.0	0.0	D5_06	60116595	60116689	95	C	208CL0250	LTR/Copia	(0)	95	1	100836	1	No_ref_available

###458	14.8	0.0	1.2	D5_06	60144833	60144914	81	C	208CL0250	LTR/Copia	(0)	95	15	100841	1	No_ref_available

###523	15.8	0.0	2.1	D5_06	60147443	60147539	95	+	208CL0250	LTR/Copia	1	95	(0)	100842	1	No_ref_available

###514	16.0	1.1	0.0	D5_06	60147667	60147760	95	C	208CL0250	LTR/Copia	(0)	95	1	100843	1	No_ref_available

###309	19.1	5.6	1.1	D5_06	60155402	60155491	94	C	208CL0250	LTR/Copia	(1)	94	1	100845	1	No_ref_available

###529	18.9	0.0	0.0	D5_06	60155599	60155693	95	+	208CL0250	LTR/Copia	1	95	(0)	100846	1	No_ref_available

###371	24.1	0.0	1.1	D5_06	60155819	60155906	87	C	208CL0250	LTR/Copia	(0)	95	9	100847	1	No_ref_available

###416	21.3	1.1	1.1	D5_06	60168133	60168227	95	C	208CL0250	LTR/Copia	(0)	95	1	100854	1	No_ref_available

###406	22.4	0.0	0.0	D5_06	60177216	60177300	85	+	208CL0250	LTR/Copia	1	85	(10)	100857	1	No_ref_available

###325	20.8	0.0	2.6	D5_06	60177435	60177513	77	C	208CL0250	LTR/Copia	(0)	95	19	100858	1	No_ref_available

###389	23.3	0.0	1.1	D5_06	60217652	60217742	90	C	208CL0250	LTR/Copia	(1)	94	5	100869	1	No_ref_available

###509	16.9	0.0	2.1	D5_06	60232838	60232934	95	+	208CL0250	LTR/Copia	1	95	(0)	100870	1	No_ref_available

###594	12.8	0.0	2.1	D5_06	60233056	60233151	94	C	208CL0250	LTR/Copia	(1)	94	1	100871	1	No_ref_available

###422	21.5	0.0	2.1	D5_06	60242969	60243063	93	+	208CL0250	LTR/Copia	1	93	(2)	100872	1	No_ref_available

###275	22.5	6.7	1.1	D5_06	60243193	60243282	95	C	208CL0250	LTR/Copia	(0)	95	1	100873	1	No_ref_available

###477	19.1	1.1	0.0	D5_06	60257027	60257120	95	+	208CL0250	LTR/Copia	1	95	(0)	100876	1	No_ref_available

###394	24.1	0.0	1.1	D5_06	60264316	60264403	87	+	208CL0250	LTR/Copia	1	87	(8)	100878	1	No_ref_available

###450	10.0	0.0	1.4	D5_06	60264502	60264572	70	C	208CL0250	LTR/Copia	(1)	94	25	100879	1	No_ref_available

###401	21.1	0.0	2.2	D5_06	60279495	60279586	90	+	208CL0250	LTR/Copia	1	90	(5)	100882	1	No_ref_available

###263	24.7	2.7	2.7	D5_06	60279646	60279720	75	C	208CL0250	LTR/Copia	(20)	75	1	100883	1	No_ref_available

###344	22.1	0.0	0.0	D5_06	60283315	60283391	77	C	208CL0250	LTR/Copia	(14)	81	5	100884	1	No_ref_available

###427	19.8	1.1	0.0	D5_06	60296550	60296640	92	+	208CL0250	LTR/Copia	4	95	(0)	100886	1	No_ref_available

###371	22.0	1.1	1.1	D5_06	60299798	60299889	92	+	208CL0250	LTR/Copia	4	95	(0)	100887	1	No_ref_available

###399	18.7	0.0	2.2	D5_06	60300016	60300108	91	C	208CL0250	LTR/Copia	(1)	94	4	100888	1	No_ref_available

###306	22.5	0.0	2.5	D5_06	60310298	60310379	80	+	208CL0250	LTR/Copia	15	94	(1)	100891	1	No_ref_available

###268	19.7	1.5	1.5	D5_06	60310503	60310569	67	C	208CL0250	LTR/Copia	(25)	70	4	100892	1	No_ref_available

###359	22.3	1.1	1.1	D5_06	60312837	60312931	95	+	208CL0250	LTR/Copia	1	95	(0)	100893	1	No_ref_available

###256	27.9	0.0	3.5	D5_06	60313051	60313139	86	C	208CL0250	LTR/Copia	(0)	95	10	100894	1	No_ref_available

###357	25.5	0.0	2.1	D5_06	60324936	60325031	94	C	208CL0250	LTR/Copia	(1)	94	1	100895	1	No_ref_available

###238	18.2	0.0	0.0	D5_06	60330327	60330370	44	C	208CL0250	LTR/Copia	(14)	81	38	100898	1	No_ref_available

###390	23.7	0.0	1.1	D5_06	60333443	60333536	93	C	208CL0250	LTR/Copia	(0)	95	3	100899	1	No_ref_available

###258	18.7	22.7	0.0	D5_06	60351836	60351910	92	+	208CL0250	LTR/Copia	4	95	(0)	100907	1	No_ref_available

###501	15.1	2.1	2.1	D5_06	60370793	60370887	95	+	208CL0250	LTR/Copia	1	95	(0)	100916	1	No_ref_available

###437	22.4	0.0	1.1	D5_06	60371022	60371116	94	C	208CL0250	LTR/Copia	(1)	94	1	100917	1	No_ref_available

###375	21.4	0.0	2.2	D5_06	60400255	60400345	89	+	208CL0250	LTR/Copia	6	94	(1)	100924	1	No_ref_available

###408	21.3	1.1	1.1	D5_06	60400473	60400567	95	C	208CL0250	LTR/Copia	(0)	95	1	100925	1	No_ref_available

###446	19.4	2.1	1.1	D5_06	60441233	60441326	95	+	208CL0250	LTR/Copia	1	95	(0)	100933	1	No_ref_available

###358	20.5	0.0	12.8	D5_06	60441454	60441559	94	C	208CL0250	LTR/Copia	(1)	94	1	100934	1	No_ref_available

###316	25.0	1.1	2.1	D5_06	60453039	60453132	93	+	208CL0250	LTR/Copia	3	95	(0)	100935	1	No_ref_available

###352	22.1	0.0	3.9	D5_06	60453246	60453325	77	C	208CL0250	LTR/Copia	(3)	92	16	100936	1	No_ref_available

###445	11.3	0.0	1.4	D5_06	60455110	60455181	71	+	208CL0250	LTR/Copia	25	95	(0)	100937	1	No_ref_available

###537	16.9	0.0	2.1	D5_06	60457228	60457324	95	C	208CL0250	LTR/Copia	(0)	95	1	100938	1	No_ref_available

###237	17.3	0.0	3.9	D5_06	60464335	60464388	52	+	208CL0250	LTR/Copia	3	54	(41)	100941	1	No_ref_available

###842	0.0	0.0	0.0	D5_06	60464527	60464621	95	C	208CL0250	LTR/Copia	(0)	95	1	100942	1	No_ref_available

###575	15.8	0.0	0.0	D5_06	60483863	60483957	95	+	208CL0250	LTR/Copia	1	95	(0)	100947	1	No_ref_available

###505	17.9	0.0	2.1	D5_06	60484069	60484165	95	C	208CL0250	LTR/Copia	(0)	95	1	100948	1	No_ref_available

###497	20.4	0.0	1.1	D5_06	60485343	60485436	93	+	208CL0250	LTR/Copia	1	93	(2)	100949	1	No_ref_available

###506	17.9	0.0	1.1	D5_06	60485566	60485661	95	C	208CL0250	LTR/Copia	(0)	95	1	100950	1	No_ref_available

###490	17.9	0.0	2.1	D5_06	60490722	60490818	95	+	208CL0250	LTR/Copia	1	95	(0)	100953	1	No_ref_available

###509	18.9	0.0	1.1	D5_06	60490937	60491032	95	C	208CL0250	LTR/Copia	(0)	95	1	100954	1	No_ref_available

###482	19.2	0.0	2.1	D5_06	60507824	60507919	94	+	208CL0250	LTR/Copia	1	94	(1)	100956	1	No_ref_available

###277	21.3	0.0	1.3	D5_06	60532590	60532665	75	+	208CL0250	LTR/Copia	1	75	(20)	100958	1	No_ref_available

###490	17.6	0.0	1.2	D5_06	60539813	60539898	85	+	208CL0250	LTR/Copia	1	85	(10)	100960	1	No_ref_available

###328	26.3	0.0	2.1	D5_06	60552233	60552329	95	+	208CL0250	LTR/Copia	1	95	(0)	100961	1	No_ref_available

###279	27.2	0.0	5.4	D5_06	60552445	60552541	92	C	208CL0250	LTR/Copia	(0)	95	4	100962	1	No_ref_available

###335	30.5	0.0	0.0	D5_06	60573573	60573667	95	C	208CL0250	LTR/Copia	(0)	95	1	100966	1	No_ref_available

###251	28.4	0.0	1.2	D5_06	60573785	60573866	81	+	208CL0250	LTR/Copia	1	81	(14)	100967	1	No_ref_available

###2651	22.4	0.2	0.9	D5_06	15725780	15726332	549	+	ATCOPIA28_I-int	LTR/Copia	3829	4377	(329)	85998	1	No_ref_available

###238	13.6	6.1	1.2	D5_06	19399224	19399305	86	C	ATCOPIA28_I-int	LTR/Copia	(3975)	731	646	87216	1	No_ref_available

###1402/4100	22.776	3.361	3.287	D5_06	36644908	36646322	1754	C	ATCOPIA28_I-int	LTR/Copia	(126)	5422	2937	93652/93652	2	No_ref_available
1402	23.4	8.1	8.4	D5_06	36644908	36645442	866	C	ATCOPIA28_I-int	LTR/Copia	(126)	5422	4557	93652	1
4100	22.4	0.5	0.2	D5_06	36645437	36646322	888	C	ATCOPIA28_I-int	LTR/Copia	(882)	3824	2937	93652	1

###559/6524	22.946	1.086	0.778	D5_06	38368474	38370043	1554	C	ATCOPIA28_I-int	LTR/Copia	(0)	5186	3163	94258/94258	2	No_ref_available
559	15.7	0.9	1.8	D5_06	38368474	38368583	109	C	ATCOPIA28_I-int	LTR/Copia	(0)	5186	5078	94258	1
6524	23.5	1.1	0.7	D5_06	38368605	38370043	1445	C	ATCOPIA28_I-int	LTR/Copia	(99)	4607	3163	94258	1

